i,j,conditioning_set,conditioning_bins,true_edge,population_ci,tv_lower_bound,model
2,8,1,2,0,0,0.000160887408479622,Chain strong
2,8,3,2,0,1,9.54097911787244e-18,Chain strong
2,8,4,2,0,1,1.12757025938492e-17,Chain strong
2,8,5,2,0,1,6.07153216591882e-18,Chain strong
2,8,6,2,0,1,4.33680868994202e-18,Chain strong
2,8,7,2,0,1,1.12757025938492e-17,Chain strong
3,4,[],1,1,0,0.047493620281903,Chain strong
3,4,1,2,1,0,0.023251922816127,Chain strong
3,4,2,2,1,0,0.020318691802304,Chain strong
3,4,5,2,1,0,0.020318691802304,Chain strong
3,4,6,2,1,0,0.023251922816127,Chain strong
3,4,7,2,1,0,0.0236753676059868,Chain strong
3,4,8,2,1,0,0.0237364966098786,Chain strong
3,5,[],1,0,0,0.0180451517398528,Chain strong
3,5,1,2,0,0,0.00883454394442604,Chain strong
3,5,2,2,0,0,0.00772006586466914,Chain strong
3,5,4,2,0,1,5.20417042793042e-18,Chain strong
3,5,6,2,0,0,0.00772006586466914,Chain strong
3,5,7,2,0,0,0.00883454394442604,Chain strong
3,5,8,2,0,0,0.00899543135290566,Chain strong
3,6,[],1,0,0,0.00685623667729511,Chain strong
3,6,1,2,0,0,0.00335667580368285,Chain strong
3,6,2,2,0,0,0.00293323101382302,Chain strong
3,6,4,2,0,1,2.60208521396521e-18,Chain strong
3,6,5,2,0,1,6.07153216591882e-18,Chain strong
3,6,7,2,0,0,0.00293323101382302,Chain strong
3,6,8,2,0,0,0.00335667580368285,Chain strong
3,7,[],1,0,0,0.00260502001051448,Chain strong
3,7,1,2,0,0,0.00127536548823652,Chain strong
3,7,2,2,0,0,0.00111447807975689,Chain strong
3,7,4,2,0,1,7.80625564189563e-18,Chain strong
3,7,5,2,0,1,5.20417042793042e-18,Chain strong
3,7,6,2,0,1,1.12757025938492e-17,Chain strong
3,7,8,2,0,0,0.00111447807975689,Chain strong
3,8,[],1,0,0,0.000989774649649063,Chain strong
3,8,1,2,0,0,0.000484573793751592,Chain strong
